--- DETAILED OBFUSCATION LOG (Folder: data_spliting\train_set\malicious) ---

[2026-06-21 00:10:22] [SUCCESS] Tech: Token_Manipulation         | Time: 0.49s | File: 1.ps1
[2026-06-21 00:10:23] [SUCCESS] Tech: Token_Manipulation         | Time: 0.19s | File: 10.ps1
[2026-06-21 00:10:23] [SUCCESS] Tech: Token_Manipulation         | Time: 0.25s | File: 100.ps1
[2026-06-21 00:10:24] [SUCCESS] Tech: Token_Manipulation         | Time: 0.20s | File: 1000.ps1
[2026-06-21 00:10:24] [SUCCESS] Tech: Token_Manipulation         | Time: 0.29s | File: 1001.ps1
[2026-06-21 00:10:24] [SUCCESS] Tech: Token_Manipulation         | Time: 0.17s | File: 1002.ps1
[2026-06-21 00:10:25] [SUCCESS] Tech: Token_Manipulation         | Time: 0.17s | File: 1003.ps1
[2026-06-21 00:10:25] [SUCCESS] Tech: Token_Manipulation         | Time: 0.15s | File: 1004.ps1
[2026-06-21 00:10:25] [SUCCESS] Tech: Token_Manipulation         | Time: 0.23s | File: 1005.ps1
[2026-06-21 00:10:25] [SUCCESS] Tech: Token_Manipulation         | Time: 0.15s | File: 1006.ps1
[2026-06-21 00:10:26] [SUCCESS] Tech: Token_Manipulation         | Time: 0.14s | File: 1007.ps1
[2026-06-21 00:10:26] [SUCCESS] Tech: Token_Manipulation         | Time: 0.18s | File: 1008.ps1
[2026-06-21 00:10:26] [SUCCESS] Tech: Token_Manipulation         | Time: 0.12s | File: 1009.ps1
[2026-06-21 00:10:26] [SUCCESS] Tech: Token_Manipulation         | Time: 0.14s | File: 101.ps1
[2026-06-21 00:10:26] [SUCCESS] Tech: Token_Manipulation         | Time: 0.09s | File: 1010.ps1
[2026-06-21 00:10:27] [SUCCESS] Tech: Token_Manipulation         | Time: 0.11s | File: 1011.ps1
[2026-06-21 00:10:27] [SUCCESS] Tech: Token_Manipulation         | Time: 0.33s | File: 1013.ps1
[2026-06-21 00:10:27] [SUCCESS] Tech: Token_Manipulation         | Time: 0.21s | File: 1015.ps1
[2026-06-21 00:10:27] [SUCCESS] Tech: Token_Manipulation         | Time: 0.16s | File: 1017.ps1
[2026-06-21 00:10:28] [SUCCESS] Tech: Token_Manipulation         | Time: 0.12s | File: 1018.ps1
[2026-06-21 00:10:28] [SUCCESS] Tech: Token_Manipulation         | Time: 0.14s | File: 1019.ps1
[2026-06-21 00:10:28] [SUCCESS] Tech: Token_Manipulation         | Time: 0.14s | File: 1023.ps1
[2026-06-21 00:10:28] [SUCCESS] Tech: Token_Manipulation         | Time: 0.18s | File: 1024.ps1
[2026-06-21 00:10:28] [SUCCESS] Tech: Token_Manipulation         | Time: 0.18s | File: 1025.ps1
[2026-06-21 00:10:29] [SUCCESS] Tech: Token_Manipulation         | Time: 0.54s | File: 1026.ps1
[2026-06-21 00:10:29] [SUCCESS] Tech: Token_Manipulation         | Time: 0.13s | File: 1028.ps1
[2026-06-21 00:10:30] [SUCCESS] Tech: Token_Manipulation         | Time: 0.18s | File: 103.ps1
[2026-06-21 00:10:30] [SUCCESS] Tech: Token_Manipulation         | Time: 0.17s | File: 1030.ps1
[2026-06-21 00:10:30] [SUCCESS] Tech: Token_Manipulation         | Time: 0.13s | File: 1031.ps1
