Metric,Mean,Std_Dev,Min,Max
Coverage_ML,0.9817869415807559,0.0015368164793812932,0.979381443298969,0.9828178694158075
Accuracy,0.9838487972508592,0.0015368164793813429,0.9810996563573883,0.9845360824742269
Precision,0.9857025761124122,2.6183465778728294e-05,0.985655737704918,0.9857142857142858
Recall,0.9950515463917526,0.001844179775257552,0.9917525773195877,0.9958762886597938
Specificity,0.9278350515463918,0.0,0.9278350515463918,0.9278350515463918
F1_Score,0.9903543363111709,0.0009277322117098969,0.9886947584789312,0.9907692307692307
FPR,0.07216494845360824,0.0,0.07216494845360824,0.07216494845360824
FNR,0.004948453608247423,0.0018441797752575585,0.004123711340206186,0.008247422680412371
NPV,0.9740980573543017,0.009308331081173947,0.9574468085106383,0.9782608695652174
Balanced_Accuracy,0.9614432989690721,0.000922089887628776,0.9597938144329897,0.9618556701030928
MCC,0.9411569896141474,0.005526508590221049,0.9312708705053708,0.9436285193913416
ROC_AUC,0.9980359230523966,0.001730106799468433,0.9949410139228398,0.9988096503347859
PR_AUC,0.9996274722128048,0.0003038876523994932,0.9990838614541742,0.9997633749024623
