"TimeCreated","ScriptPath","ScriptLength","ScriptPreview"
"8/4/2026 10:25:08 PM","","9","$global:?"
"8/4/2026 10:25:08 PM","","44","{ Set-StrictMode -Version 1; $_.OriginInfo }"
"8/4/2026 10:25:08 PM","","55","{ Set-StrictMode -Version 1; $_.ErrorCategory_Message }"
"8/4/2026 10:25:08 PM","","78","{ Set-StrictMode -Version 1; $this.Exception.InnerException.PSMessageDetails }"
"8/4/2026 10:25:08 PM","","50","{ Set-StrictMode -Version 1; $_.PSMessageDetails }"
"8/4/2026 10:25:08 PM","","150","if((Get-ExecutionPolicy ) -ne 'AllSigned') { Set-ExecutionPolicy -Scope Process Bypass }; & 'C:\TA\project-ta\data_spliting\test_set\malicious\11.ps1'"
"8/4/2026 10:25:04 PM","","44","{ Set-StrictMode -Version 1; $_.OriginInfo }"
"8/4/2026 10:25:04 PM","","55","{ Set-StrictMode -Version 1; $_.ErrorCategory_Message }"
"8/4/2026 10:25:04 PM","","78","{ Set-StrictMode -Version 1; $this.Exception.InnerException.PSMessageDetails }"
"8/4/2026 10:25:04 PM","","50","{ Set-StrictMode -Version 1; $_.PSMessageDetails }"
"8/4/2026 10:25:03 PM","C:\TA\project-ta\data_spliting\test_set\malicious\14.ps1","2244","$qkc = '[DllImport(""kernel32.dll"")]public static extern IntPtr VirtualAlloc(IntPtr lpAddress, uint dwSize, uint flAllocationType, uint flProtect);[DllImport(""kernel32.dll"")]public static extern IntPtr"
"8/4/2026 10:25:03 PM","","150","if((Get-ExecutionPolicy ) -ne 'AllSigned') { Set-ExecutionPolicy -Scope Process Bypass }; & 'C:\TA\project-ta\data_spliting\test_set\malicious\14.ps1'"
"8/4/2026 10:24:24 PM","","9","$global:?"
"8/4/2026 10:24:24 PM","C:\Users\sani\Desktop\pancingan - Copy (2).ps1","88","{ $_.Properties[2].Value.Substring(0, [Math]::Min(200, $_.Properties[2].Value.Length)) }"
"8/4/2026 10:24:24 PM","C:\Users\sani\Desktop\pancingan - Copy (2).ps1","33","{ $_.Properties[2].Value.Length }"
