"TimeCreated","ScriptPath","ScriptLength","ScriptPreview"
"8/5/2026 8:56:04 AM","","9","$global:?"
"8/5/2026 8:56:04 AM","","44","{ Set-StrictMode -Version 1; $_.OriginInfo }"
"8/5/2026 8:56:04 AM","","55","{ Set-StrictMode -Version 1; $_.ErrorCategory_Message }"
"8/5/2026 8:56:04 AM","","78","{ Set-StrictMode -Version 1; $this.Exception.InnerException.PSMessageDetails }"
"8/5/2026 8:56:04 AM","","50","{ Set-StrictMode -Version 1; $_.PSMessageDetails }"
"8/5/2026 8:56:04 AM","","154","if((Get-ExecutionPolicy ) -ne 'AllSigned') { Set-ExecutionPolicy -Scope Process Bypass }; & 'C:\TA\project-ta\data_spliting\test_set\malicious\git_38.ps1'"
"8/5/2026 8:53:30 AM","","9","$global:?"
"8/5/2026 8:53:30 AM","","44","{ Set-StrictMode -Version 1; $_.OriginInfo }"
"8/5/2026 8:53:30 AM","","55","{ Set-StrictMode -Version 1; $_.ErrorCategory_Message }"
"8/5/2026 8:53:30 AM","","78","{ Set-StrictMode -Version 1; $this.Exception.InnerException.PSMessageDetails }"
"8/5/2026 8:53:30 AM","","50","{ Set-StrictMode -Version 1; $_.PSMessageDetails }"
"8/5/2026 8:53:30 AM","","149","if((Get-ExecutionPolicy ) -ne 'AllSigned') { Set-ExecutionPolicy -Scope Process Bypass }; & 'C:\TA\project-ta\data_spliting\test_set\benign\1054.ps1'"
"8/5/2026 8:53:15 AM","","9","$global:?"
"8/5/2026 8:53:15 AM","","44","{ Set-StrictMode -Version 1; $_.OriginInfo }"
"8/5/2026 8:53:15 AM","","55","{ Set-StrictMode -Version 1; $_.ErrorCategory_Message }"
"8/5/2026 8:53:15 AM","","78","{ Set-StrictMode -Version 1; $this.Exception.InnerException.PSMessageDetails }"
"8/5/2026 8:53:15 AM","","50","{ Set-StrictMode -Version 1; $_.PSMessageDetails }"
"8/5/2026 8:53:15 AM","","149","if((Get-ExecutionPolicy ) -ne 'AllSigned') { Set-ExecutionPolicy -Scope Process Bypass }; & 'C:\TA\project-ta\data_spliting\test_set\benign\1043.ps1'"
"8/5/2026 8:53:01 AM","","9","$global:?"
"8/5/2026 8:53:01 AM","","44","{ Set-StrictMode -Version 1; $_.OriginInfo }"
"8/5/2026 8:53:01 AM","","55","{ Set-StrictMode -Version 1; $_.ErrorCategory_Message }"
"8/5/2026 8:53:01 AM","","78","{ Set-StrictMode -Version 1; $this.Exception.InnerException.PSMessageDetails }"
"8/5/2026 8:53:01 AM","","50","{ Set-StrictMode -Version 1; $_.PSMessageDetails }"
"8/5/2026 8:53:01 AM","","148","if((Get-ExecutionPolicy ) -ne 'AllSigned') { Set-ExecutionPolicy -Scope Process Bypass }; & 'C:\TA\project-ta\data_spliting\test_set\benign\104.ps1'"
"8/5/2026 8:52:49 AM","","9","$global:?"
"8/5/2026 8:52:49 AM","","44","{ Set-StrictMode -Version 1; $_.OriginInfo }"
"8/5/2026 8:52:49 AM","","55","{ Set-StrictMode -Version 1; $_.ErrorCategory_Message }"
"8/5/2026 8:52:49 AM","","78","{ Set-StrictMode -Version 1; $this.Exception.InnerException.PSMessageDetails }"
"8/5/2026 8:52:49 AM","","50","{ Set-StrictMode -Version 1; $_.PSMessageDetails }"
"8/5/2026 8:52:49 AM","","148","if((Get-ExecutionPolicy ) -ne 'AllSigned') { Set-ExecutionPolicy -Scope Process Bypass }; & 'C:\TA\project-ta\data_spliting\test_set\benign\103.ps1'"
"8/5/2026 8:52:33 AM","","9","$global:?"
"8/5/2026 8:52:33 AM","","44","{ Set-StrictMode -Version 1; $_.OriginInfo }"
"8/5/2026 8:52:33 AM","","55","{ Set-StrictMode -Version 1; $_.ErrorCategory_Message }"
"8/5/2026 8:52:33 AM","","78","{ Set-StrictMode -Version 1; $this.Exception.InnerException.PSMessageDetails }"
"8/5/2026 8:52:33 AM","","50","{ Set-StrictMode -Version 1; $_.PSMessageDetails }"
"8/5/2026 8:52:33 AM","","152","if((Get-ExecutionPolicy ) -ne 'AllSigned') { Set-ExecutionPolicy -Scope Process Bypass }; & 'C:\TA\project-ta\data_spliting\test_set\malicious\1157.ps1'"
"8/5/2026 8:52:26 AM","","9","$global:?"
"8/5/2026 8:52:26 AM","","44","{ Set-StrictMode -Version 1; $_.OriginInfo }"
"8/5/2026 8:52:26 AM","","55","{ Set-StrictMode -Version 1; $_.ErrorCategory_Message }"
"8/5/2026 8:52:26 AM","","78","{ Set-StrictMode -Version 1; $this.Exception.InnerException.PSMessageDetails }"
"8/5/2026 8:52:26 AM","","50","{ Set-StrictMode -Version 1; $_.PSMessageDetails }"
"8/5/2026 8:52:26 AM","","152","if((Get-ExecutionPolicy ) -ne 'AllSigned') { Set-ExecutionPolicy -Scope Process Bypass }; & 'C:\TA\project-ta\data_spliting\test_set\malicious\1105.ps1'"
"8/5/2026 8:52:21 AM","","9","$global:?"
"8/5/2026 8:52:21 AM","","44","{ Set-StrictMode -Version 1; $_.OriginInfo }"
"8/5/2026 8:52:21 AM","","55","{ Set-StrictMode -Version 1; $_.ErrorCategory_Message }"
"8/5/2026 8:52:21 AM","","78","{ Set-StrictMode -Version 1; $this.Exception.InnerException.PSMessageDetails }"
"8/5/2026 8:52:21 AM","","50","{ Set-StrictMode -Version 1; $_.PSMessageDetails }"
"8/5/2026 8:52:21 AM","","152","if((Get-ExecutionPolicy ) -ne 'AllSigned') { Set-ExecutionPolicy -Scope Process Bypass }; & 'C:\TA\project-ta\data_spliting\test_set\malicious\1103.ps1'"
"8/5/2026 8:52:11 AM","","9","$global:?"
"8/5/2026 8:52:11 AM","","44","{ Set-StrictMode -Version 1; $_.OriginInfo }"
"8/5/2026 8:52:11 AM","","55","{ Set-StrictMode -Version 1; $_.ErrorCategory_Message }"
"8/5/2026 8:52:10 AM","","78","{ Set-StrictMode -Version 1; $this.Exception.InnerException.PSMessageDetails }"
"8/5/2026 8:52:10 AM","","50","{ Set-StrictMode -Version 1; $_.PSMessageDetails }"
"8/5/2026 8:52:10 AM","","150","if((Get-ExecutionPolicy ) -ne 'AllSigned') { Set-ExecutionPolicy -Scope Process Bypass }; & 'C:\TA\project-ta\data_spliting\test_set\malicious\11.ps1'"
"8/5/2026 8:52:05 AM","","9","$global:?"
"8/5/2026 8:52:05 AM","","44","{ Set-StrictMode -Version 1; $_.OriginInfo }"
"8/5/2026 8:52:05 AM","","55","{ Set-StrictMode -Version 1; $_.ErrorCategory_Message }"
"8/5/2026 8:52:05 AM","","78","{ Set-StrictMode -Version 1; $this.Exception.InnerException.PSMessageDetails }"
"8/5/2026 8:52:05 AM","","50","{ Set-StrictMode -Version 1; $_.PSMessageDetails }"
"8/5/2026 8:52:05 AM","","152","if((Get-ExecutionPolicy ) -ne 'AllSigned') { Set-ExecutionPolicy -Scope Process Bypass }; & 'C:\TA\project-ta\data_spliting\test_set\malicious\1080.ps1'"
"8/5/2026 8:51:19 AM","","6","prompt"
"8/5/2026 8:51:19 AM","","55"," wevtutil cl ""Microsoft-Windows-PowerShell/Operational"""
